Customer_ID,Age,Gender,Location,Income,Purchase_Amount
C001,22,Female,Chennai,30000,2500
C002,35,Male,Bangalore,45000,4200
C003,28,Female,Hyderabad,38000,3600
C004,42,Male,Chennai,52000,4800
C005,31,Female,Bangalore,41000,3900
C006,24,Male,Hyderabad,28000,2100
C007,37,Female,Chennai,47000,4500
C008,29,Male,Bangalore,39000,3400
C009,46,Female,Hyderabad,55000,5000
C010,34,Male,Chennai,43000,4000
C011,26,Female,Coimbatore,36000,3200
C012,41,Male,Madurai,50000,4700
C013,23,Male,Chennai,27000,2200
C014,38,Female,Bangalore,48000,4600
C015,33,Male,Hyderabad,42000,3900
C016,27,Female,Coimbatore,35000,3100
C017,45,Male,Chennai,56000,5200
C018,32,Female,Madurai,40000,3700
C019,29,Female,Bangalore,39000,3500
C020,36,Male,Hyderabad,46000,4300
C021,21,Female,Chennai,26000,2000
C022,39,Male,Bangalore,49000,4800
C023,28,Male,Coimbatore,37000,3300
C024,44,Female,Hyderabad,54000,5100
C025,31,Male,Chennai,41000,3800
C026,34,Female,Madurai,43000,4000
C027,26,Male,Bangalore,36000,3200
C028,47,Female,Chennai,58000,5400
C029,35,Female,Hyderabad,45000,4200
C030,23,Male,Coimbatore,29000,2400
