Customer_ID,Age,Gender,Location,Income,Purchase_Amount,Age_Group
C001,22,Female,Chennai,30000,2500,18-25
C002,35,Male,Bangalore,45000,4200,26-35
C003,28,Female,Hyderabad,38000,3600,26-35
C004,42,Male,Chennai,52000,4800,36-45
C005,31,Female,Bangalore,41000,3900,26-35
C006,24,Male,Hyderabad,28000,2100,18-25
C007,37,Female,Chennai,47000,4500,36-45
C008,29,Male,Bangalore,39000,3400,26-35
C009,46,Female,Hyderabad,55000,5000,46-60
C010,34,Male,Chennai,43000,4000,26-35
C011,26,Female,Coimbatore,36000,3200,26-35
C012,41,Male,Madurai,50000,4700,36-45
C013,23,Male,Chennai,27000,2200,18-25
C014,38,Female,Bangalore,48000,4600,36-45
C015,33,Male,Hyderabad,42000,3900,26-35
C016,27,Female,Coimbatore,35000,3100,26-35
C017,45,Male,Chennai,56000,5200,36-45
C018,32,Female,Madurai,40000,3700,26-35
C019,29,Female,Bangalore,39000,3500,26-35
C020,36,Male,Hyderabad,46000,4300,36-45
C021,21,Female,Chennai,26000,2000,18-25
C022,39,Male,Bangalore,49000,4800,36-45
C023,28,Male,Coimbatore,37000,3300,26-35
C024,44,Female,Hyderabad,54000,5100,36-45
C025,31,Male,Chennai,41000,3800,26-35
C026,34,Female,Madurai,43000,4000,26-35
C027,26,Male,Bangalore,36000,3200,26-35
C028,47,Female,Chennai,58000,5400,46-60
C029,35,Female,Hyderabad,45000,4200,26-35
C030,23,Male,Coimbatore,29000,2400,18-25
